Id,AcceptedAnswerId
48074839,
48147056,
39219932,39220928
39242843,
45240812,
35724709,
39225869,
39249440,39347750
39250114,
35820933,35821041
35745520,
35800456,
35844173,
35692753,
26582084,
36257419,36257787
27202749,27203034
27211881,27305735
48186307,
35864050,
55567534,
45986901,
18950619,18951680
36242911,36242966
26581558,
45956653,45957146
47932881,
46577946,46578241
26572453,26572489
27231338,
27813098,
37123448,37123599
